ownerkey,poolid,sku,totalAvailable,expires,id
1203148,8a85f9843e42428d013e47db306d6efb,ES0113909,2500,2018-06-20,8a85f9812ede00af012ef5fdd7671f74
1468465,8a85f98153591e6b01535ba2d8bf4b51,ES0113909,25,2018-06-20,8a85f9812ff1a0f9012ffd4fda83647b
1477509,8a85f9815431e648015433a33b5c5801,ES0113909,25,2018-06-20,8a85f9812ede00af012f02526e650ba9
1573472,8a85f984533b50e7015342a549ab7a0f,ES0113909,25,2018-06-20,8a85f98439a09bb60139c6246efc4506
1979710,8a85f9833e1404a9013e3cddf99305e6,ES0113909,25000,2018-06-20,8a85f9812e11455a012e16ab89ff001d
2186270,8a85f981520765a401520a4b39cb5050,ES0113909,25,2018-06-20,8a85f98130052720013010c7a8137ae7
2629525,8a85f98350ce59b40150d6141d307e07,ES0113909,25,2018-06-20,8a85f9812f035407012f0354ad9b0002
2703533,8a85f9863e424625013e47f6ade671a5,ES0113909,25,2018-06-20,8a85f9812f4946c6012fddae901c681e
3659551,8a85f9843e3d687a013e3ddd3a660702,ES0113909,7500,2018-06-20,8a85f9812e264610012e3a991b743ff2
4009411,8a85f987411bd946014128204ed0530c,ES0113909,125,2018-06-20,8a85f987411bd9460141279eeece41be
4444576,8a85f9815280e41c0152851667464351,ES0113909,25,2018-06-20,8a85f98130dca9d50130e50ce8a63b0e
4496479,8a85f981544efea201545004b34465a5,ES0113909,25,2018-06-20,8a85f9812f273c09012f335968f25b99
4564312,8a85f98152cdb8fc0152cea1dc1057fa,ES0113909,25,2018-06-20,8a85f9813005272001300b9a64663fe5
4801554,8a85f9895443533901545b4602ab2293,ES0113909,25,2018-06-20,8a85f98a544357b70154546742a80452
4856655,8a85f98151570b8f01515aebab1528d3,ES0113909,25,2018-06-20,8a85f9812f4946c6012f6696889c2730
5093133,8a85f981506e17b1015070e793765372,ES0113909,25,2018-06-20,8a85f9812f035407012f0623ac813e0f
5135321,8a85f9863e3d64fd013e3e0aeee10b15,ES0113909,150,2018-06-20,8a85f9812f4946c6012fba574cde1614
5138492,8a85f98148448d15014847bc34475022,ES0113909,625,2018-06-20,8a85f9812f4946c6012fba57bd4a1676
5249263,8a85f98a5291288b0152a263cc6d6217,ES0113909,25,2018-06-20,8a85f9812ff1a0f9012ffd4dea6263b0
5305839,8a85f9815480682e015482ffccac337d,ES0113909,25,2018-06-20,8a85f9812f273c09012f290731fc1ab0
5318211,8a85f9843e3d687a013e3ddd471a083e,ES0113909,25000,2018-06-20,8a85f9812eda6533012edc44bcfe005e
5318290,8a85f9823e3d5e43013e3dce9029074a,ES0113909,10000,2018-06-20,8a85f9812ede00af012edee47de259b4
5372539,8a85f9823e3d5e43013e3e0af5860ee4,ES0113909,50,2018-06-20,8a85f9812ede00af012ede452cca2174
5384812,8a85f98152ab64040152afaeb03804ce,ES0113909,25,2018-06-20,8a85f981309a0c0101309cf60f0223d4
5389686,8a85f9823e3d5e43013e3ddd2cce0926,ES0113909,10000,2018-06-20,8a85f9812f4946c6012fba5751f01615
5394945,8a85f9823e3d5e43013e3e0af35a0da6,ES0113909,25,2018-06-20,8a85f9812ede00af012ee6119ed06077
5416711,8a85f9843e3d687a013e3ddd3eae07a0,ES0113909,5000,2018-06-20,8a85f9812ec04bd5012ec4e48dd7006f
5449654,8a85f9815380275a015381ebe7b67a94,ES0113909,25,2018-06-20,8a85f9812ede00af012eedcc377439ec
5450899,8a85f98154dca7010154dca7f6a9025a,ES0113909,25,2018-06-20,8a85f9812f4946c6012f4ddf93be6672
5490291,8a85f98950e2b5ec0150f1fabe4947e6,ES0113909,25,2018-06-20,8a85f9812f035407012f0af4a91d1818
5496473,8a85f981536120f6015362f5e7c14c9b,ES0113909,25,2018-06-20,8a85f9812f4946c6012f6d1d362b14b5
5579635,8a85f981540abd7a01540aeace422e22,ES0113909,25,2018-06-20,8a85f98653ece0910153efaa208a13e6
5625941,8a85f9874182623c014193b040b61990,ES0113909,1275,2018-06-20,8a85f9812ede00af012edf3fed831e67
5627908,8a85f98154e6691b0154e7b3971f080a,ES0113909,25,2018-06-20,8a85f98148169d2d014817932ba53c71
5639418,8a85f9815139e25001513b8fa0fd384c,ES0113909,25,2018-06-20,8a85f9812f4946c6012f9b748c105586
5648498,8a85f9863e3d64fd013e3e0aeeb50ac4,ES0113909,25,2018-06-20,8a85f98130052720013025b866701003
5654254,8a85f9815288b51b01528a6ba63e131d,ES0113909,25,2018-06-20,8a85f9813005272001301e6fdff24bd7
5662166,8a85f9813e3d619b013e3e0aefd80a44,ES0113909,625,2018-06-20,8a85f9812ede00af012ee0f1dfa26c5b
5705101,8a85f98152cdb8fc0152ce90a6c05171,ES0113909,25,2018-06-20,8a85f9812f035407012f1b59aa735da5
5708190,8a85f9823e3d5e43013e3e0af4ca0e44,ES0113909,625,2018-06-20,8a85f981309a0c010130ab9400a1552b
